"username","date","retweets","favorites","text","geo","mentions","hashtags","id","permalink","emoji"
"EvanNGilbert","2020-04-19 19:38","0","0","Can we get that “color coded map”? 😬please?","","","","1252064016387715072","https://twitter.com/EvanNGilbert/status/1252064016387715072","😬"
"httpjks","2020-04-19 19:38","0","0","ahaha im buying these idc 😬 pic.twitter.com/slkPKRPuOG","","","","1252064014131064833","https://twitter.com/httpjks/status/1252064014131064833","😬"
"SujitAlagiah","2020-04-19 19:38","0","0","What did this mean😬😬","","","","1252064012415664128","https://twitter.com/SujitAlagiah/status/1252064012415664128","😬 😬"
"of_nebula","2020-04-19 19:38","0","0","Oml someone ask me to prom   💖💖💖 https://twitter.com/mayorstetson/status/1251954136880484352 …","","","","1252063995290423297","https://twitter.com/of_nebula/status/1252063995290423297","💖 😅 😬"
"btss5L","2020-04-19 19:38","0","0","imma say it     that's that white shyt..........................😬😬😬😬","","","","1252063982002765825","https://twitter.com/btss5L/status/1252063982002765825","😬 😬 😬 😬"
"Joss_A_Lynn","2020-04-19 19:38","0","0","Smh, he embarrassed tf out of himself 😬 pic.twitter.com/oIMNM2BAtO","","","","1252063978135662592","https://twitter.com/Joss_A_Lynn/status/1252063978135662592","😬"
"Huaweitographer","2020-04-19 19:38","0","0","@brown_eyes_M     Lip transplant??? 😬","","@brown_eyes_M","","1252063959211008000","https://twitter.com/Huaweitographer/status/1252063959211008000","😬"
"jamaiscaa","2020-04-19 19:38","0","0","twitter😬","","","","1252063954005659649","https://twitter.com/jamaiscaa/status/1252063954005659649","😬"
"fendiclownshoes","2020-04-19 19:38","0","0","i thought he was fingering himself 💀","","","","1252063939762028544","https://twitter.com/fendiclownshoes/status/1252063939762028544","💀"
"rave_sage","2020-04-19 19:37","0","0","Try having an entire drive fail and now almost 500gb of files are just POOF 😬","","","","1252063933499936769","https://twitter.com/rave_sage/status/1252063933499936769","😬"
"xxPretty_T","2020-04-19 19:37","0","0","I want to order some rose galore 😬😬","","","","1252063920392716288","https://twitter.com/xxPretty_T/status/1252063920392716288","😬 😬"
