text,id,emoji
trumpers cant read 😀,1.1784594347014676e+18,😀
guys welcome anytime 😀,1.1784594286239826e+18,😀
love thank sharing😀,1.1784594099886285e+18,😀
it’s prophesy there’s stopping coming battle islam christianity america infiltrated happen know ends though😀  …,1.1784593863159767e+18,😀
green 😀,1.1784593560203633e+18,😀
thing x used say therefore cannot valid thats addressing actual argument also im ben 😀,1.1784592513725153e+18,😀
like earlyish stuff    thank creating safe space could say 😀,1.1784592336349676e+18,😀
season 31 need say 😀    doh    thesimpsons   …,1.1784591985452605e+18,😀
ohio state fans 😀,1.1784591948627804e+18,😀
dick everywhere faithful boyfriend ,1.1784591841547756e+18,🌚 😀
see 😀            ,1.1784591422618624e+18,😀
yes 😀 cant wait 😀😀 bobsburgers fave best love beenwaitingforthis animationdomination …,1.1784591158043976e+18,😀 ♥️ ♥️
explanation needed 😀  learning express toys lake zurich serving chicago nw suburbs  …,1.1784590936333107e+18,😀
23 years old 😀,1.178459091909464e+18,😀
hello 😀  …,1.17845908641067e+18,😀
beautiful dearest beth thank much shanátová 🍎🍎🍎🍎🍎,1.1784590263859692e+18,🍎 🍯 🙏 😀 🍾
tim 😀    chef working hard today,1.1784589782857687e+18,😀
wow   throne like one popular show used tv  😀 gameofthrones …,1.1784589759746253e+18,😀
think says 😀,1.1784589682655475e+18,😀
wonderful weather we’re 😀,1.1784589452178022e+18,😀
fantastic jay well done easy keep format positivity dealing life threatening illnesses proves outstanding support find way cope somehow   2 amazing peeps 😀😀😀,1.1784589367076209e+18,😀 👍 ❤
thanks rts         😁😁😁😁,1.178458913181581e+18,😁 😄 😃 😀
great week beautiful ☺️☺️☺️☺️☺️☺️☺️☺️,1.1784589082954179e+18,☺️ 😍 😀 😘 🔥 🔥 🔥 ☀️
bad idea though😀,1.1784588810197852e+18,😀
happy birthday ken  great season go     lgrw ,1.1784588802815836e+18, 😀 🎂 🎙 📻 🏒 🥅 🚨
don’t soak gloves denatured alcohol hands dyed week 😀😀 ,1.1784588790902948e+18,😀 👍🏼
huge shout amazing ap macro students  almost 60 49 kids showed test review sunday  proud dedication  know you’ll great test tomorrow💯💯💯💯💯💯💯💯💯,1.1784588286203453e+18,💯 😀 💯 😀 💯 😀 💯 😀 💯
best luck 😀,1.1784588132899922e+18,😀
